sourashtra_sentence,english_sentence
elle morE aangu,this is my body
morE tON singaar sE,my face is beautiful
mogo dee kaan sEtE,I have two ears
mogo oNTe tON sEtE,I have one mouth
mogo onte chipu sEtE,I have one chin
mogo oNTe dosko sEtE,I have one head
mogo dee khaandu sEtE,I have two shoulders
morE khEs kaaLo sEtE,My hair is black
mogo morE paad savaanaa,I cannot see my back
more hatko muTTiyo,My bone broke
torE gudgo moLci,Fold your knee
jiib hollo ruchi savu,I taste with my tongue
morE haathum dessu angiLi sEtE,My hands have ten fingers
morE pOdum konni nhi,My stomach is empty
mogo bhook kereras,I am hungry
thogO morE ghaDi aikaras ya?,Can you hear my voice?
