sourashtra_word,english_word
mhoTTa,big
nhunna,small
biSSo,fast
haLLu,slow
delkO,wide
delkO,thick
delkO,fat
nhAn,thin
unchO,tall
kalla,down
hujaaL,light
handAR,dark
lambO,long
akuro,short
chokkad,good
chokkad nhi,bad
choD,good
choD nhi,bad
mhago,expensive
songo,affordablo
madiP,value
havlO,light
bhar,heavy
oLLo,wet
sukkariyo,dry
mUri,dirty
sudAM,clean
jailED,awake
injilE,asleep
hudo,open
jhAi,closed
oNTes,alone
vithiyAs,different
allago,separate
keshTam,difficult
singaar,beautiful
mukyum,important
mudja,finished
gheTTi,hard
gheTTi,loud
moraD,rowdy
moraD,rude
novO,new
junO,dingy
hunno,hot
suLLo,cold
haathukam,busy
ghaanaras,stinky
ritto,empty
piso,crazy
serko,right
serko,correct
serko,accurate
choddaye,fake
sOn,similar
madri,similar
madri,alike
leguta,close
dudUR,far
jiiv sEte,alive
pura,entire
aski,every
raak hoye,angry
konjcuto,shy
sauryam,well
abbeyo,junk
hubow,cunning
gundo,fat
phijai,enough
phurai,enough
phurai,sufficient
phurna,insufficient
