sourashtra_word,english_word
aangu,body
tON,face
doLo,eye
naak,nose
kaan,ear
doskO,head
doskO,forehead
pavni,eyebrow
gavlo,cheek
chipu,chin
roppo,eyelash
kabaaL,forehead
khEs,hair
geLo,neck
ghaDi,throat
jiib,tongue
jiib,life
daath,teeth
hiriDi,gum
maan,nape
khaandu,shoulder
haath,arm
haath,hand
dairo haath,right hand
jaino haath,left hand
taalo haath,palm
moot,fist
muut,urine
angiLi,finger
muddhi angiLi,ring finger
kilangiLi,pinky finger 
madi angiLi,middle finger
molli,knuckle
khobo,elbow
pOd,stomach
paad,back
kEd,hip
mhaDi,thigh
mhaDi,lap
gudgo,knee
paayn,leg
kenDo,skin
nekku,nail
taalo paayn,sole
hatkO,bone
regAT,blood
hOT,lip
huTTo,saliva
bhombi,navel
bhombi,belly button
neram,nerves
duno,pain
iski,hiccup
ghAm,injury
hOng,sleep
