sourashtra_word,english_word,optional_context
ivar,knowledge,yivaar podaras to indicate understand 
yoseno,think,yoseno keraras means to think
akaradi,dictionary,
akSaru,letter,
akSaru,alphabet,
aalOcano,consideration,
aalOcano,advice,
bhasha,language,
shikSo,training,training in learning and arts
lipi,script,sourashtra lipi
kheni,story,
samartu,knack,
samartu,ability,
vatto,word,
vattam,language,avrE vattam sangi means 'say in our language'
giiT,song,
poLTam,school,
monnu,mind,
havdan,thought,
havdan,memory,
