sourashtra_word,english_word,optional_context
ambO,mother,
bo,father,
ba,father,
dadO,brother,older brother
bEy,sister,older sister
mAi,sister,younger sister
babu,brother,younger brother
ammO,grandmother,father's mother 
aiyyO,grandfather,father's father
mhoTTabO,uncle,father's older brother
mhoTTambO,aunt,father's older brother's wife
nhunnabO,uncle,father's younger brother
nhunnambO,aunt,father's older brother's wife
bEy,aunt,father's sister
phOin,aunt,father's sister 
bhavO,uncle,father's sister's husband
anGher bo,grandfather,mother's mother
anGher ambO,grandmother,mother's mother
mamO,uncle,mother's brother
mamO,father-in-law,colloquial term for father-in-law
mami,aunt,mother's brother's wife
mami,mother-in-law,colloquial term for mother-in-law
mama bedO,cousin,mamo and mami's son
mama bedI,cousin,mamo and mami's daughter
mousi,aunt,mother's sister
mouso,uncle,mother's sister's husband
dallO,husband,
bEyl,wife,
pillO,child,
nuru,baby,
bedO,son,
beDko,boy,
bedI,daughter,
beDki,girl,
nattE,grandson,
nadini,granddaughter,
sasu,mother-in-law,
sosurO,father-in-law,
vesintin,in-law,parent in law (generic)
salO,brother-in-law,wife's older brother
jET,brother-in-law,husband's older brother
jheDani,sister-in-law,husband's elder brother's wife
bhavi,sister-in-law,elder brother's wife
bhavO,brother-in-law,sister's husband
devar,brother-in-law,husband's younger brother
devraNi,sister-in-law,husband's younger brother's wife
jomAi,son-in-law,
bhoNDi,dauther-in-law,
kudambam,family,
novrO,groom,
novri,bride,
novrO mai,mother of the groom,term used only for marriage
novri mai,mother of the bride,term used only for marriage
