sourashtra_word,english_word
hindO,today
soNdO,tomorrow
kAL,yesterday
solabar,morning
disullO,daytime
dhuvari,afternoon
viLLtO,evening
radhi,night
ghEDi,moment
ghentO,time
dinu,day
orsu,year
vaar,week
vaal,time
gEyorsu,last year
gEyvaar,last week
gEyvaal,last time
holloorsu,next year
hollavaal,next time
mhaDho,month
somaar,monday
mongalaar,tuesday
budaar,wednesday
bestaar,thursday
shukraar,friday
senmaar,saturday
aitaar,sunday
kalaam,season
harmbam,beginning
harmbam,start
villuku,all-day
poram,day after tomorrow
theram,two days from now
uraL,later
